tag,description,qty,unit,sheet_id,table_title,bbox_px
CD-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,650.886,2780.88,685.444"
CD-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,685.444,2780.88,720.002"
CD-3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,720.002,2780.88,754.3240000000001"
CD-4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,754.3240000000001,2780.88,788.884"
CD-5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,788.884,2780.88,823.444"
EG-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,823.444,2780.88,858.0059999999999"
EG-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,858.0059999999999,2780.88,892.3240000000001"
EG-3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,892.3240000000001,2780.88,926.884"
EG-4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1402.08,547.44,1436.64"
LD-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1436.64,547.44,1471.2"
LD-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1471.2,547.44,1505.52"
LD-3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1505.52,547.44,1540.08"
RG-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,926.884,2780.88,961.444"
RG-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,961.444,2780.88,995.7640000000001"
RG-3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,995.7640000000001,2780.88,1030.324"
RG-4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1030.324,2780.88,1064.884"
RG-5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1064.884,2780.88,1099.2040000000002"
RG-6,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1099.2040000000002,2780.88,1133.764"
RG-7,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1133.764,2780.88,1168.324"
RG-8,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1168.324,2780.88,1202.884"
RG-9,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1202.884,2780.88,1237.204"
RG-11,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1781.52,547.44,1816.08"
RG-12,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1816.08,547.44,1850.4"
RG-13,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,1850.4,547.44,1884.96"
SG-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","1943.28,2786.16,2053.68,2820.7200000000003"
TG-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1237.204,2780.88,1271.762"
TG-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1271.762,2780.88,1306.324"
TG-3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","2670.472,1306.324,2780.88,1340.644"
TG-4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,2022.96,547.44,2057.52"
TG-5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,"GRILLE, REGISTER, AND DIFFUSER SCHEDULE","437.04,2057.52,547.44,2091.84"
