tag,description,qty,unit,sheet_id,table_title,bbox_px
AHU-T1A-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1550.16,3095.04,1584.72"
AHU-T1B-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1584.72,3095.04,1619.28"
CUH-T1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1619.28,3095.04,1653.6"
CUH-T2-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#49,HHW CONTROL VALVE SCHEDULE,"2910.48,1653.6,3095.04,1688.16"
CV-CH-H-MT-1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,445.1999999999998,776.88,479.7600000000002"
CV-CH-H-MT-2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,479.7600000000002,776.88,514.3200000000002"
CV-CUH-A1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,611.52,2770.56,646.0799999999999"
CV-CUH-M1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,410.6399999999999,776.88,445.1999999999998"
CV-DOAH-A1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,714.96,2770.56,749.52"
CV-DOAH-A2-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,749.52,2770.56,784.0799999999999"
CV-DOAH-M1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,"566.4,548.6399999999999,776.88,583.1999999999998"
CV-FCU-A1-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,784.0799999999999,2770.56,818.4000000000001"
CV-FCU-A2-HHW,,1,EA,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,"2562.96,818.4000000000001,2770.56,852.96"
