tag,description,qty,unit,sheet_id,table_title,bbox_px
H-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,HUMIDIFIER SCHEDULE,"2576.64,1006.0799999999999,2720.64,1040.6419999999998"
H-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1675.676,2814.48,1709.998"
H-M2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1709.998,2814.48,1744.556"
H-M3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1744.556,2814.48,1779.118"
H-M4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1779.118,2814.48,1813.676"
H-M5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1813.676,2814.48,1847.998"
H-M6,,1,EA,navfac-cherry-point-atc-mechanical.pdf#47,HUMIDIFIER SCHEDULE,"2670.484,1847.998,2814.48,1882.558"
H-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,HUMIDIFIER SCHEDULE,"3045.118,1627.438,3133.2,1661.76"
H-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,HUMIDIFIER SCHEDULE,"3045.118,1661.76,3133.2,1696.318"
H-T3,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,HUMIDIFIER SCHEDULE,"3045.118,1696.318,3133.2,1730.878"
H-T4,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,HUMIDIFIER SCHEDULE,"3045.118,1730.878,3133.2,1765.438"
H-T5,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,HUMIDIFIER SCHEDULE,"3045.118,1765.438,3133.2,1799.758"
