tag,description,qty,unit,sheet_id,table_title,bbox_px
HHWP-DOAH-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2666.4,477.84,2700.96"
HHWP-DOAH-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2700.96,477.84,2735.52"
HHWP-DOAH-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1397.76,474,1432.08"
HHWP-DOAH-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2576.158,2706.72,2610.478"
HRHWP-MT1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1432.08,474,1466.64"
HRHWP-MT2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1466.64,474,1501.2"
PCHWP-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2735.52,477.84,2769.84"
PCHWP-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2769.84,477.84,2804.4"
PCHWP-MT1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1501.2,474,1535.52"
PCHWP-MT2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1535.52,474,1570.08"
PHHWP-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2804.4,477.84,2838.96"
PHHWP-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2838.96,477.84,2873.2799999999997"
PHHWP-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1570.08,474,1604.64"
PHHWP-M2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1604.64,474,1639.2"
PHHWP-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2610.478,2706.72,2645.038"
PHHWP-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2645.038,2706.72,2679.598"
SCHWP-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1639.2,474,1673.52"
SCHWP-M2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1673.52,474,1708.08"
SCHWP-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2679.598,2706.72,2713.918"
SCHWP-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2713.918,2706.72,2748.478"
SHHWP-A1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2873.2799999999997,477.84,2907.84"
SHHWP-A2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#42,PUMP SCHEDULE,"301.2,2907.84,477.84,2942.4"
SHHWP-M1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1708.08,474,1742.64"
SHHWP-M2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#45,PUMP SCHEDULE,"301.2,1742.64,474,1776.96"
SHHWP-T1,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2748.478,2706.72,2783.04"
SHHWP-T2,,1,EA,navfac-cherry-point-atc-mechanical.pdf#48,PUMP SCHEDULE,"2527.204,2783.04,2706.72,2817.36"
