category,count,unit,building_A,building_M,building_T,building_other
AHU,5,EA,2,1,2,0
DOAH_UNIT,3,EA,2,1,0,0
DOAH_HANDLING,1,EA,0,0,1,0
FCU,42,EA,14,10,18,0
VAV,52,EA,27,25,0,0
AIR_COOLED_CHILLER,2,EA,2,0,0,0
HEAT_RECOVERY_CHILLER,2,EA,0,2,0,0
BOILER,6,EA,2,2,2,0
PUMP,26,EA,8,11,7,0
FAN,8,EA,3,1,4,0
CABINET_UNIT_HEATER,5,EA,2,1,2,0
UNIT_HEATER,6,EA,5,1,0,0
CRAH,6,EA,0,4,2,0
DEHUMIDIFIER,12,EA,6,3,3,0
HUMIDIFIER,12,EA,1,6,5,0
AIR_SEPARATOR,6,EA,2,2,2,0
EXPANSION_TANK,4,EA,2,2,0,0
CHW_CONTROL_VALVE,64,EA,22,18,23,1
HHW_CONTROL_VALVE,99,EA,41,35,22,1
GRD,30,EA,0,0,0,30
RANGE_HOOD,3,EA,0,3,0,0
DUCT_SILENCER,2,EA,2,0,0,0
