tag,description,qty,unit,sheet_id,table_title,bbox_px
VAV-A101,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,1897.68,526.8,1932.24"
VAV-A102,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,1932.24,526.8,1966.8"
VAV-A103,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,1966.8,526.8,2001.36"
VAV-A104,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2001.36,526.8,2035.68"
VAV-A105,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2035.68,526.8,2070.24"
VAV-A106A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2070.24,526.8,2104.8"
VAV-A106B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2104.8,526.8,2139.12"
VAV-A107,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2139.12,526.8,2173.68"
VAV-A108A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2173.68,526.8,2208.24"
VAV-A108B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2208.24,526.8,2242.56"
VAV-A109,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2242.56,526.8,2277.12"
VAV-A110,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2277.12,526.8,2311.68"
VAV-A111,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2311.68,526.8,2346.24"
VAV-A112,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2346.24,526.8,2380.56"
VAV-A113,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2380.56,526.8,2415.12"
VAV-A114,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2415.12,526.8,2449.68"
VAV-A115,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2449.68,526.8,2484"
VAV-A116,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2484,526.8,2518.56"
VAV-A117,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2518.56,526.8,2553.12"
VAV-A118,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2553.12,526.8,2587.44"
VAV-A201,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2587.44,526.8,2622"
VAV-A202,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2622,526.8,2656.56"
VAV-A203A,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2656.56,526.8,2691.12"
VAV-A203B,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2691.12,526.8,2725.44"
VAV-A204,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2725.44,526.8,2760"
VAV-A205,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2760,526.8,2794.56"
VAV-A206,,1,EA,navfac-cherry-point-atc-mechanical.pdf#43,VARIABLE AIR VOLUME TERMINAL BOX,"301.92,2794.56,526.8,2828.88"
VAV-M101,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,323.03999999999996,467.52,357.5999999999999"
VAV-M102,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,357.5999999999999,467.52,392.15999999999985"
VAV-M103,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,392.15999999999985,467.52,426.48"
VAV-M104,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,426.48,467.52,461.03999999999996"
VAV-M105,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,461.03999999999996,467.52,495.5999999999999"
VAV-M106,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,495.5999999999999,467.52,529.9200000000001"
VAV-M107,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,529.9200000000001,467.52,564.48"
VAV-M108,,1,EA,navfac-cherry-point-atc-mechanical.pdf#46,VARIABLE AIR VOLUME TERMINAL BOX,"293.28,564.48,467.52,599.04"
