tag,description,qty,unit,building,sheet_id,table_title,Service,GPM,Cv,Notes,Configuration,Served equipment,Size,Unit Mark,bbox_px
CV-CH-C-MT1,Serves CV-CH-C-MT1,1,EA,,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,215,305.0,"2,3",2-WAY,CV-CH-C-MT1,4,CV-CH-C-MT1,"1709.52,583.1999999999998,1918.08,617.7600000000002"
CV-CH-C-MT2,Serves CV-CH-C-MT2,1,EA,,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,215,305.0,"2,3",2-WAY,CV-CH-C-MT2,4,CV-CH-C-MT2,"1709.52,617.7600000000002,1918.08,652.0799999999999"
CV-AHU-A1-CHW,Serves AHU-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,61.5,27.5,1,2-WAY,AHU-A1,2,AHU-A1,"3611.04,611.5239999999999,3802.32,646.0859999999998"
CV-AHU-A2-CHW,Serves AHU-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,10.9,4.9,1,2-WAY,AHU-A2,1,AHU-A2,"3611.04,646.0859999999998,3802.32,680.6460000000002"
CV-CH-A1,Serves CV-CH-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,128.0,324.0,2,2-WAY,CV-CH-A1,4,CV-CH-A1,"3611.04,680.6460000000002,3802.32,714.9659999999999"
CV-CH-A2,Serves CV-CH-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,128.0,324.0,2,2-WAY,CV-CH-A2,4,CV-CH-A2,"3611.04,714.9659999999999,3802.32,749.5239999999999"
CV-CHW-BP-A,Serves CV-CHW-BP-A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,58.0,25.9,"1,3",2-WAY,CV-CHW-BP-A,2,CV-CHW-BP-A,"3611.04,749.5239999999999,3802.32,784.0839999999998"
CV-DOAH-A1-CHW,Serves DOAH-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,25.5,11.4,1,2-WAY,DOAH-A1,1,DOAH-A1,"3611.04,784.0839999999998,3802.32,818.404"
CV-DOAH-A2-CHW,Serves DOAH-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,17.7,7.9,1,2-WAY,DOAH-A2,1,DOAH-A2,"3611.04,818.404,3802.32,852.9639999999999"
CV-FCU-A1-CHW,Serves FCU-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,0.8,0.4,1,2-WAY,FCU-A1,1/2,FCU-A1,"3611.04,852.9639999999999,3802.32,887.5259999999998"
CV-FCU-A2-CHW,Serves FCU-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,1.2,0.5,1,2-WAY,FCU-A2,1/2,FCU-A2,"3611.04,887.5259999999998,3802.32,921.844"
CV-FCU-A3-CHW,Serves FCU-A3,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,4.9,2.2,1,2-WAY,FCU-A3,1/2,FCU-A3,"3611.04,921.844,3802.32,956.404"
CV-FCU-A4-CHW,Serves FCU-A4,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,6.3,2.8,1,2-WAY,FCU-A4,1/2,FCU-A4,"3611.04,956.404,3802.32,990.9639999999999"
CV-FCU-A5-CHW,Serves FCU-A5,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,6.5,2.9,1,2-WAY,FCU-A5,1/2,FCU-A5,"3611.04,990.9639999999999,3802.32,1025.524"
CV-FCU-A6-CHW,Serves FCU-A6,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,2.4,1.1,1,2-WAY,FCU-A6,1/2,FCU-A6,"3611.04,1025.524,3802.32,1059.844"
CV-FCU-A7-CHW,Serves FCU-A7,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,3.7,1.7,1,2-WAY,FCU-A7,1/2,FCU-A7,"3611.04,1059.844,3802.32,1094.404"
CV-FCU-A8A-CHW,Serves FCU-A8A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,4.7,2.1,1,2-WAY,FCU-A8A,1/2,FCU-A8A,"3611.04,1094.404,3802.32,1128.964"
CV-FCU-A8B-CHW,Serves FCU-A8B,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,4.7,2.1,1,2-WAY,FCU-A8B,1/2,FCU-A8B,"3611.04,1128.964,3802.32,1163.284"
CV-FCU-A9-CHW,Serves FCU-A9,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,1.3,0.6,1,2-WAY,FCU-A9,1/2,FCU-A9,"3611.04,1163.284,3802.32,1197.844"
CV-FCU-A10-CHW,Serves FCU-A10,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,19.9,8.9,1,2-WAY,FCU-A10,1,FCU-A10,"3611.04,1197.844,3802.32,1232.404"
CV-FCU-A11-CHW,Serves FCU-A11,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,5.7,2.5,1,2-WAY,FCU-A11,1/2,FCU-A11,"3611.04,1232.404,3802.32,1266.964"
CV-FCU-A12-CHW,Serves FCU-A12,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,3.8,1.7,1,2-WAY,FCU-A12,1/2,FCU-A12,"3611.04,1266.964,3802.32,1301.284"
CV-FCU-A13-CHW,Serves FCU-A13,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,CHW CONTROL VALVE SCHEDULE,CHW,2.7,1.2,1,2-WAY,FCU-A13,1/2,FCU-A13,"3611.04,1301.284,3802.32,1335.844"
CV-AHU-M1-CHW,Serves AHU-M1,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,70,31.3,1,2-WAY,AHU-M1,1 1/4,AHU-M1,"1709.52,410.6399999999999,1918.08,445.1999999999998"
CV-CHW-BP-M,Serves CV-CHW-BP-M,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,56.7,25.3,1,2-WAY,CV-CHW-BP-M,1 1/2,CV-CHW-BP-M,"1709.52,652.0799999999999,1918.08,686.6399999999999"
CV-CRAH-M1A-CHW,Serves CRAH-M1A,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,16.5,7.4,1,2-WAY,CRAH-M1A,1/2,CRAH-M1A,"1709.52,445.1999999999998,1918.08,479.7600000000002"
CV-CRAH-M1B-CHW,Serves CRAH-M1B,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,16.5,7.4,1,2-WAY,CRAH-M1B,1/2,CRAH-M1B,"1709.52,479.7600000000002,1918.08,514.3200000000002"
CV-CRAH-M2A-CHW,Serves CRAH-M2A,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,15.1,6.7,1,2-WAY,CRAH-M2A,1/2,CRAH-M2A,"1709.52,514.3200000000002,1918.08,548.6399999999999"
CV-CRAH-M2B-CHW,Serves CRAH-M2B,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,15.1,6.7,1,2-WAY,CRAH-M2B,1/2,CRAH-M2B,"1709.52,548.6399999999999,1918.08,583.1999999999998"
CV-DOAH-M1-CHW,Serves DOAH-M1,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,43.2,19.3,1,2-WAY,DOAH-M1,1,DOAH-M1,"1709.52,686.6399999999999,1918.08,721.1999999999998"
CV-FCU-M1A-CHW,Serves FCU-M1A,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,3.1,1.4,1,2-WAY,FCU-M1A,1/2,FCU-M1A,"1709.52,721.1999999999998,1918.08,755.52"
CV-FCU-M1B-CHW,Serves FCU-M1B,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,3.1,1.4,1,2-WAY,FCU-M1B,1/2,FCU-M1B,"1709.52,755.52,1918.08,790.0799999999999"
CV-FCU-M2A-CHW,Serves FCU-M2A,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,6,2.7,1,2-WAY,FCU-M2A,1/2,FCU-M2A,"1709.52,790.0799999999999,1918.08,824.6399999999999"
CV-FCU-M2B-CHW,Serves FCU-M2B,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,6,2.7,1,2-WAY,FCU-M2B,1/2,FCU-M2B,"1709.52,824.6399999999999,1918.08,859.1999999999998"
CV-FCU-M3-CHW,Serves FCU-M3,1,EA,M,navfac-cherry-point-atc-mechanical.pdf#47,CHW CONTROL VALVE SCHEDULE,CHW,2.3,1.0,1,2-WAY,FCU-M3,1/2,FCU-M3,"1709.52,859.1999999999998,1918.08,893.52"
