tag,description,qty,unit,building,sheet_id,table_title,Service,GPM,Cv,Notes,Configuration,Served equipment,Size,Unit Mark,bbox_px
CV-CH-H-MT-1,Serves CV-CH-H-MT-1,1,EA,,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,40.0,57.0,"2,3",2-WAY,CV-CH-H-MT-1,1,CV-CH-H-MT-1,"566.4,445.1999999999998,776.88,479.7600000000002"
CV-CH-H-MT-2,Serves CV-CH-H-MT-2,1,EA,,navfac-cherry-point-atc-mechanical.pdf#47,HHW CONTROL VALVE SCHEDULE,HHW,40.0,57.0,"2,3",2-WAY,CV-CH-H-MT-2,1,CV-CH-H-MT-2,"566.4,479.7600000000002,776.88,514.3200000000002"
CV-CUH-A1-HHW,Serves CUH-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2 WAY,CUH-A1,1/2,CUH-A1,"2562.96,611.52,2770.56,646.0799999999999"
CV-DOAH-A1-HHW,Serves DOAH-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,6.7,3.0,1,2 WAY,DOAH-A1,3/4,DOAH-A1,"2562.96,714.96,2770.56,749.52"
CV-DOAH-A2-HHW,Serves DOAH-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,4.6,2.1,1,2 WAY,DOAH-A2,1/2,DOAH-A2,"2562.96,749.52,2770.56,784.0799999999999"
CV-FCU-A1-HHW,Serves FCU-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2 WAY,FCU-A1,1/2,FCU-A1,"2562.96,784.0799999999999,2770.56,818.4000000000001"
CV-FCU-A2-HHW,Serves FCU-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2 WAY,FCU-A2,1/2,FCU-A2,"2562.96,818.4000000000001,2770.56,852.96"
CV-FCU-A6-HHW,Serves FCU-A6,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.6,0.3,1,2 WAY,FCU-A6,1/2,FCU-A6,"2562.96,852.96,2770.56,887.52"
CV-FCU-A7-HHW,Serves FCU-A7,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,FCU-A7,1/2,FCU-A7,"2562.96,887.52,2770.56,921.8400000000001"
CV-FCU-A8-A-HHW,Serves FCU-A8A,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2 WAY,FCU-A8A,1/2,FCU-A8A,"2562.96,921.8400000000001,2770.56,956.4000000000001"
CV-FCU-A8-B-HHW,Serves FCU-A8B,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.5,0.7,1,2 WAY,FCU-A8B,1/2,FCU-A8B,"2562.96,956.4000000000001,2770.56,990.96"
CV-FCU-A10-HHW,Serves FCU-A9,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.5,0.2,1,2 WAY,FCU-A9,1/2,FCU-A9,"2562.96,990.96,2770.56,1025.52"
CV-FCU-A12-HHW,Serves FCU-A12,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2 WAY,FCU-A12,1/2,FCU-A12,"2562.96,1025.52,2770.56,1059.8400000000001"
CV-FCU-A13-HHW,Serves FCU-A13,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,FCU-A13,1/2,FCU-A13,"2562.96,1059.8400000000001,2770.56,1094.4"
CV-HHW-BP-A1,Serves CV-HHW-BP-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,16.7,7.5,1,2 WAY,CV-HHW-BP-A1,1,CV-HHW-BP-A1,"2562.96,680.6399999999999,2770.56,714.96"
CV-UH-A1-HHW,Serves UH-A1,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,UH-A1,1/2,UH-A1,"2562.96,1094.4,2770.56,1128.96"
CV-UH-A2-HHW,Serves UH-A2,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.1,0.5,1,2 WAY,UH-A2,1/2,UH-A2,"2562.96,1128.96,2770.56,1163.28"
CV-VAV-102-HHW,Serves VAV-A102,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.0,0.4,1,2 WAY,VAV-A102,1/2,VAV-A102,"2562.96,1301.28,2770.56,1335.84"
CV-VAV-A101-HHW,Serves VAV-A101,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,1.6,0.7,1,2 WAY,VAV-A101,1/2,VAV-A101,"2562.96,1266.96,2770.56,1301.28"
CV-VAV-A103-HHW,Serves VAV-A103,1,EA,A,navfac-cherry-point-atc-mechanical.pdf#44,HHW CONTROL VALVE SCHEDULE,HHW,0.9,0.4,1,2 WAY,VAV-A103,1/2,VAV-A103,"2562.96,1335.84,2770.56,1370.4"
