group_id,project_id,split,symbol_name,tag_name,target_physical_id,num_candidates,top1_candidate_id,top1_score,top1_decision,top1_abstain_reason,latency_ms,outcome,verifier
eval_dev_valves_01,project_valves,dev,2-Way Control Valve,V-101,phys_v101,4,cand_v101_true,1.0,match,,1.422166998963803,SUCCESS_MATCH,deterministic_vector_baseline
eval_dev_valves_02_orphaned_tag,project_valves,dev,2-Way Control Valve,V-102,,2,cand_v102_tag,0.0,reject,insufficient_linework_coverage,0.3965419891756028,REJECT_CORRECT,deterministic_vector_baseline
eval_dev_air_01,project_air,dev,Fire Damper,FD-1,phys_fd1,3,cand_fd1_true,1.0,match,,1.1563329899217933,SUCCESS_MATCH,deterministic_vector_baseline
eval_heldout_cherry_point_01,project_cherry_point,held_out,2-Way Modulating Valve,TCV-1,phys_ho_v1,4,cand_ho_v1_true,1.0,match,,1.3185830030124635,SUCCESS_MATCH,deterministic_vector_baseline
eval_heldout_baker_01,project_baker_eoc,held_out,Supply Air Diffuser 24x24,SAD-1,phys_ho_sad1,3,cand_ho_diff_true,1.0,match,,1.5372500056400895,SUCCESS_MATCH,deterministic_vector_baseline
eval_dev_valves_01,project_valves,dev,2-Way Control Valve,V-101,phys_v101,4,cand_v101_true,1.0,match,,5.4814999748487025,SUCCESS_MATCH,raster_template_matching
eval_dev_valves_02_orphaned_tag,project_valves,dev,2-Way Control Valve,V-102,,2,cand_v102_tag,0.3643970191478729,reject,low_template_correlation,2.375374984694645,REJECT_CORRECT,raster_template_matching
eval_dev_air_01,project_air,dev,Fire Damper,FD-1,phys_fd1,3,cand_fd1_true,1.0,match,,2.439917006995529,SUCCESS_MATCH,raster_template_matching
eval_heldout_cherry_point_01,project_cherry_point,held_out,2-Way Modulating Valve,TCV-1,phys_ho_v1,4,cand_ho_v1_true,1.0,match,,4.699083016021177,SUCCESS_MATCH,raster_template_matching
eval_heldout_baker_01,project_baker_eoc,held_out,Supply Air Diffuser 24x24,SAD-1,phys_ho_sad1,3,cand_ho_diff_true,1.0,match,,3.5157090169377625,SUCCESS_MATCH,raster_template_matching
eval_dev_valves_01,project_valves,dev,2-Way Control Valve,V-101,phys_v101,4,cand_v101_true,1.0,match,,299.1099169885274,SUCCESS_MATCH,shape_context_descriptor
